,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
11240,0,1,1,53.0,835.0,4.5,4.0,4.0,5.4,5.4,4.48,5.0,4585.0,1.18,1.22,1.22,1.18,1.22,1.2,48.0,-3750.0
11241,1,2,5,76.0,709.0,4.5,4.0,4.33,4.3,4.5,4.28,22.0,1616.0,1.16,1.18,1.22,1.27,1.27,1.21,54.0,-907.0
11242,1,1,2,106.0,548.0,4.5,4.4,4.5,4.7,4.7,4.53,17.0,1820.0,1.18,1.18,1.17,1.23,1.23,1.19,89.0,-1272.0
11243,1,2,2,119.0,468.0,4.5,4.5,4.5,5.77,5.77,4.82,26.0,1395.0,1.18,1.18,1.17,1.17,1.18,1.18,93.0,-927.0
11244,1,2,1,37.0,1080.0,4.5,4.25,5.0,5.32,5.32,4.77,14.0,2460.0,1.18,1.16,1.17,1.2,1.2,1.18,23.0,-1380.0
11245,1,1,2,76.0,673.0,4.5,4.0,4.5,4.39,4.5,4.35,30.0,1385.0,1.16,1.22,1.17,1.26,1.26,1.2,46.0,-712.0
11246,1,2,7,12.0,2480.0,4.5,4.65,4.33,5.01,5.01,4.62,5.0,5755.0,1.18,1.17,1.2,1.22,1.22,1.19,7.0,-3275.0
11247,1,2,2,16.0,1810.0,4.5,3.7,4.0,4.5,4.5,4.18,6.0,4460.0,1.18,1.25,1.22,1.25,1.25,1.23,10.0,-2650.0
11248,1,2,1,28.0,1265.0,4.5,4.35,4.33,5.61,5.61,4.7,21.0,1495.0,1.18,1.19,1.2,1.18,1.2,1.19,7.0,-230.0
11249,1,2,5,93.0,622.0,4.5,3.75,4.33,4.68,4.68,4.32,59.0,820.0,1.18,1.18,1.22,1.24,1.24,1.21,34.0,-198.0
11250,1,3,2,93.0,548.0,4.5,4.0,4.0,5.0,5.0,4.38,39.0,1090.0,1.18,1.22,1.22,1.21,1.22,1.21,54.0,-542.0
11251,0,1,1,48.0,857.0,4.5,4.3,4.33,4.07,4.5,4.3,31.0,1255.0,1.18,1.18,1.22,1.28,1.28,1.22,17.0,-398.0
11252,1,1,1,100.0,546.0,4.5,4.5,4.33,4.26,4.5,4.4,28.0,1215.0,1.18,1.18,1.2,1.26,1.26,1.21,72.0,-669.0
11253,1,2,7,19.0,1725.0,4.5,4.1,4.5,5.05,5.05,4.54,5.0,4880.0,1.18,1.2,1.2,1.22,1.22,1.2,14.0,-3155.0
11254,1,1,8,19.0,1770.0,4.5,4.5,4.5,5.13,5.13,4.66,5.0,6505.0,1.18,1.18,1.2,1.21,1.21,1.19,14.0,-4735.0
11255,0,1,5,24.0,1370.0,4.5,4.25,4.0,4.47,4.5,4.31,10.0,2585.0,1.18,1.2,1.25,1.26,1.26,1.22,14.0,-1215.0
11256,0,1,1,47.0,915.0,4.5,4.75,4.5,6.16,6.16,4.98,10.0,2585.0,1.18,1.16,1.17,1.15,1.18,1.17,37.0,-1670.0
11257,1,2,1,100.0,526.0,4.5,4.3,4.33,4.85,4.85,4.5,63.0,755.0,1.18,1.2,1.2,1.22,1.22,1.2,37.0,-229.0
11258,1,1,5,154.0,350.0,4.5,4.25,4.0,4.75,4.75,4.38,109.0,488.0,1.18,1.2,1.22,1.24,1.24,1.21,45.0,-138.0
11259,1,1,7,105.0,507.0,4.5,3.85,4.0,4.76,4.76,4.28,15.0,2125.0,1.18,1.23,1.25,1.24,1.25,1.23,90.0,-1618.0
11260,1,2,1,72.0,677.0,4.5,4.5,4.5,4.65,4.65,4.54,69.0,690.0,1.18,1.18,1.17,1.23,1.23,1.19,3.0,-13.0
11261,1,2,5,6.0,5040.0,4.5,4.3,4.33,4.44,4.5,4.39,1.0,13845.0,1.2,1.2,1.22,1.26,1.26,1.22,5.0,-8805.0
11262,1,2,5,20.0,1705.0,4.5,4.2,4.33,4.81,4.81,4.46,8.0,4310.0,1.2,1.2,1.22,1.23,1.23,1.21,12.0,-2605.0
11263,0,1,1,152.0,356.0,4.5,4.25,4.0,5.17,5.17,4.48,34.0,1200.0,1.16,1.2,1.22,1.21,1.22,1.2,118.0,-844.0
11264,1,2,2,134.0,403.0,4.5,4.75,5.0,4.7,5.0,4.74,5.0,4830.0,1.18,1.16,1.14,1.23,1.23,1.18,129.0,-4427.0
11265,1,2,2,24.0,1502.0,4.5,4.6,4.33,4.85,4.85,4.57,2.0,8645.0,1.18,1.17,1.2,1.22,1.22,1.19,22.0,-7143.0
11266,0,1,7,33.0,1140.0,4.5,4.25,4.33,3.97,4.5,4.26,7.0,3700.0,1.18,1.2,1.2,1.3,1.3,1.22,26.0,-2560.0
11267,0,1,2,71.0,690.0,4.5,4.55,5.0,4.81,5.0,4.72,11.0,2955.0,1.16,1.17,1.14,1.23,1.23,1.18,60.0,-2265.0
11268,1,2,1,42.0,996.0,4.5,4.25,4.5,5.23,5.23,4.62,35.0,1170.0,1.18,1.2,1.17,1.2,1.2,1.19,7.0,-174.0
11269,1,2,1,50.0,846.0,4.5,4.25,3.5,4.77,4.77,4.26,30.0,1220.0,1.18,1.2,1.29,1.23,1.29,1.23,20.0,-374.0
11270,1,2,2,139.0,418.0,4.5,4.3,4.5,3.97,4.5,4.32,66.0,788.0,1.18,1.15,1.2,1.29,1.29,1.21,73.0,-370.0
11271,1,1,2,103.0,538.0,4.5,4.25,4.33,4.77,4.77,4.46,15.0,2210.0,1.18,1.2,1.2,1.23,1.23,1.2,88.0,-1672.0
11272,0,1,2,75.0,680.0,4.5,4.25,4.5,5.04,5.04,4.57,12.0,2005.0,1.18,1.2,1.17,1.21,1.21,1.19,63.0,-1325.0
11273,1,1,1,81.0,608.0,4.5,3.89,4.333,5.05,5.05,4.44,75.0,627.0,1.16,1.23,1.2,1.217,1.23,1.2,6.0,-19.0
11274,1,2,3,22.0,1505.0,4.5,4.5,4.33,5.17,5.17,4.63,11.0,2655.0,1.18,1.18,1.2,1.21,1.21,1.19,11.0,-1150.0
11275,1,2,1,43.0,982.0,4.5,4.4,4.0,5.08,5.08,4.5,30.0,1220.0,1.18,1.19,1.22,1.21,1.22,1.2,13.0,-238.0
11276,1,1,2,37.0,1055.0,4.5,4.25,4.5,4.3,4.5,4.39,4.0,6665.0,1.18,1.2,1.17,1.27,1.27,1.21,33.0,-5610.0
11277,0,1,6,9.0,2990.0,4.5,4.25,4.5,4.61,4.61,4.47,7.0,4080.0,1.18,1.2,1.2,1.24,1.24,1.21,2.0,-1090.0
11278,1,1,1,61.0,727.0,4.5,4.0,5.0,5.54,5.54,4.76,13.0,2370.0,1.18,1.22,1.14,1.19,1.22,1.18,48.0,-1643.0
11279,0,1,6,9.0,2990.0,4.5,4.5,4.5,4.73,4.73,4.56,5.0,6030.0,1.2,1.18,1.17,1.23,1.23,1.2,4.0,-3040.0
11280,1,2,2,232.0,210.0,4.5,4.5,4.5,4.65,4.65,4.54,32.0,1163.0,1.18,1.18,1.17,1.24,1.24,1.19,200.0,-953.0
11281,1,2,1,211.0,225.0,4.5,4.5,4.33,5.47,5.47,4.7,29.0,1264.0,1.18,1.18,1.2,1.18,1.2,1.19,182.0,-1039.0
11282,1,3,1,201.0,235.0,4.5,4.25,3.75,4.77,4.77,4.32,45.0,930.0,1.16,1.2,1.25,1.23,1.25,1.21,156.0,-695.0
11283,1,1,3,55.0,853.0,4.5,4.0,4.5,4.76,4.76,4.44,4.0,6325.0,1.18,1.18,1.2,1.24,1.24,1.2,51.0,-5472.0
11284,1,2,2,77.0,647.0,4.5,4.5,4.5,4.85,4.85,4.59,8.0,3875.0,1.18,1.18,1.17,1.22,1.22,1.19,69.0,-3228.0
11285,0,1,2,41.0,1070.0,4.5,4.5,5.0,4.98,5.0,4.75,3.0,7145.0,1.16,1.18,1.14,1.22,1.22,1.18,38.0,-6075.0
11286,1,1,2,87.0,584.0,4.5,4.25,4.5,4.69,4.69,4.49,27.0,1305.0,1.16,1.2,1.17,1.23,1.23,1.19,60.0,-721.0
11287,1,2,3,16.0,2090.0,4.5,4.1,4.5,4.39,4.5,4.37,2.0,8670.0,1.18,1.21,1.2,1.26,1.26,1.21,14.0,-6580.0
11288,1,1,3,73.0,683.0,4.5,3.75,4.33,5.45,5.45,4.51,6.0,4510.0,1.16,1.25,1.2,1.2,1.25,1.2,67.0,-3827.0
11289,0,1,7,9.0,3260.0,4.5,4.0,3.75,4.72,4.72,4.24,2.0,7495.0,1.16,1.22,1.25,1.24,1.25,1.22,7.0,-4235.0
11290,1,1,3,89.0,576.0,4.5,4.0,3.75,4.55,4.55,4.2,14.0,2340.0,1.16,1.22,1.25,1.25,1.25,1.22,75.0,-1764.0
